Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.0,0.0
1,0.0,0.6219885597102741
2,0.6554655569277706,0.9685205553242285
3,1.2722879170955905,1.315052550938183
4,1.8067584697565928,1.6615845465521373
5,2.2201272712183813,2.008116542166092
6,2.2985062030361494,2.3546485377800463
7,2.2985062030361494,2.701180533394001
8,2.959001100295292,3.0477125290079554
9,3.239003100100187,3.39424452462191
10,3.6523719015619758,3.7407765202358645
11,3.6523719015619758,4.087308515849819
12,3.7307508333797434,4.433840511463774
13,3.8091297651975116,4.780372507077728
14,3.8875086970152797,5.126904502691683
15,4.421979249676282,5.473436498305637
16,4.500358181494049,5.819968493919592
17,4.578737113311817,6.166500489533546
18,4.657116045129585,6.513032485147501
19,5.00216396466476,6.859564480761455
20,5.00216396466476,7.20609647637541
21,5.00216396466476,7.552628471989364
22,5.080542896482528,7.899160467603319
23,5.158921828300295,8.245692463217273
24,5.158921828300295,8.592224458831227
25,5.158921828300295,8.938756454445182
26,5.822545577972943,9.285288450059136
27,5.822545577972943,9.63182044567309
28,5.822545577972943,9.978352441287045
