Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.40691630161861053,0.7456733842072503,0.44899721080404775,0.7628802176005693
1,1.074442765339621,1.0089617861002105,1.0683552846546478,1.5000110557142463
2,1.790036995584924,1.3315537330529843,1.7584659101182045,2.253178534336631
3,2.161446658903226,1.864038568714354,2.35540412613212,2.774966070578997
4,2.576494839579307,2.379684399362398,2.699226765796479,2.990943456469213
5,2.7876029397003235,2.6322323573183266,3.0969202914360148,3.1669807979750977
6,3.055586267424032,3.0690802122158023,3.5014980261422153,3.1736169805400847
7,3.258245448138066,3.658129580858079,3.6052035225040604,3.613142237242582
8,3.7834377506309123,3.9211872425289003,3.906402082277297,3.613142237242582
9,4.0504542779305295,4.301028327769627,4.221121033682184,3.8427845475109392
10,4.428147540282589,4.737049111462449,4.365842865941159,3.849420730075926
11,4.755699747800177,5.0002718207967245,4.41024481724319,3.9643498426663575
12,4.8727234493382054,5.364901866426065,4.461282951110208,4.067124760229893
13,5.1355329015240105,5.638469975353712,4.562691672068988,4.1115267115319245
14,5.439089890356518,5.893448501392713,4.817761540036118,4.11816289409691
15,5.5805067629094705,5.963975662681113,5.052687693974349,4.182053872820324
16,6.023899728549982,6.293074844972151,5.156393190336194,4.188690055385311
17,6.330791207413433,6.5696264353490506,5.408151741815978,4.252581034108725
18,6.434496703775278,6.843194544276699,5.452553693118009,4.252581034108725
19,6.752979040988987,6.95466075008793,5.649790834781274,4.252581034108725
20,6.951060982656045,7.080175803897641,5.913079236674234,4.252581034108725
21,7.224671245626842,7.080175803897641,6.035438616731178,4.323902280298652
22,7.413016193354798,7.306425451756487,6.185678461452063,4.330538462863638
23,7.635877788311679,7.584987105854049,6.230080412754094,4.3724853775590775
24,7.756775536691842,7.626934020549487,6.42945746612161,4.65002256342653
25,7.756775536691842,7.685306986810991,6.609250056995717,4.745850984131014
26,7.8459677748313394,7.810822040620701,6.7373058641733055,4.811924504435822
27,8.062941432078551,7.93785494476692,6.847647543100138,4.980397479903803
