Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.3285187148339913,0.31258846736263624,0.3579822437061666,0.39427891940715754,0.31065429219821317
1,0.7296709225048128,0.6649886836387188,0.6744891699978235,0.6472164822547297,0.562998750208796
2,1.0594986348841757,0.9844848953214683,0.9223690296834619,0.9852391351975547,0.9337906731865087
3,1.3014221361549547,1.2304139932243534,1.2568322667480358,1.3229424642062175,1.186515096565809
4,1.635706036153343,1.5879507431175022,1.5163126485129728,1.5911753785646083,1.6084906045332699
5,1.9435195649872434,1.819412237045242,1.7886040359328645,1.9186659413288258,1.9608691448031075
6,2.156386975560054,2.0803072045466746,2.057831450442108,2.296476253434123,2.291943247488189
7,2.3484060745287425,2.401484814062335,2.3834605698417453,2.623236495563049,2.7081114000062425
8,2.5139384668793783,2.6377091818521854,2.6933163390587405,2.9885801761516775,3.0518580750621087
9,2.705103645016691,2.852017958880963,2.9581117219833937,3.3002836710860386,3.3424870133934954
10,2.9557770996838726,3.1166478816007688,3.1448827711919405,3.603671844211874,3.6806947897380353
11,3.101031273137849,3.373771442232119,3.409913206960094,3.9718985092215653,4.007825871839069
12,3.3297892073071367,3.6995449488798187,3.632598155534975,4.309466090118766,4.337855875193844
13,3.493120038385551,3.968589070686891,3.8949912694697373,4.58022063079561,4.714871455823472
14,3.7210475035682693,4.100148141735158,4.074143749127236,5.056815605837027,4.960857068593529
15,3.919152820955835,4.304103303862985,4.269582515085115,5.482716251832867,5.244178902980807
16,4.051100280971346,4.524906460886681,4.467898730694421,5.902738183410663,5.501527598020055
17,4.234012601686116,4.688715594853296,4.630983166890769,6.205711173246386,5.9045097654391325
18,4.462398769248475,4.911174532962509,4.86774151630471,6.559048014139506,6.254508292177193
19,4.5781402342094415,4.9829976453024525,5.0739736615889,6.954106192328678,6.6222089766670935
20,4.851661740913615,5.09269964071296,5.250599080894552,7.307975737645492,7.060882765476812
21,4.949881402315802,5.200820740389621,5.4117166995775685,7.671564985812557,7.409229894127307
22,5.1785408160620525,5.310707265011764,5.560424277695877,7.935183483280386,7.806463650782571
23,5.413672485425565,5.386862229812311,5.741147705670587,8.248977644757716,8.086819457793888
24,5.523119124481307,5.484008820565114,5.977370582605473,8.521946694166923,8.497962864355879
25,5.676602096018575,5.560526671939827,6.138071576678062,8.837978658707362,8.824133166694013
26,5.8845567118056445,5.592675954493,6.2432934440495735,9.150366547296532,9.10041297567647
27,6.0914763179443385,5.665970580336845,6.451021113440831,9.48756449665312,9.40121886383504
28,6.34052333326575,5.768211996243663,6.702266863141003,9.799547228681105,9.638156490513087
29,6.499084856301607,5.839476633701988,6.842579943812581,10.19738613786574,9.9545782304161
30,6.734553077451534,5.89630699284603,6.954293803018484,10.557599843370244,10.28425240987704
31,6.844197104759628,5.96516227993096,7.075973771099299,10.89881170206473,10.560605092984765
32,7.021795992505206,5.995346574289724,7.2824461361089945,11.256511441740459,10.941332943459859
