Time(Iteration),EpsilonGreedyMultiArmedBandit,ThompsonSamplingMultiArmedBandit,Upperasdl;kj;ldkjf;lasdfasdfasdfa
0,0.4062269279587003,0.44782206444525174,0.46264234811230526
1,0.7833391408452467,0.8988579278996202,0.9197151427756631
2,1.0808319814113698,1.3416109473437163,1.2987254547610394
3,1.443811273555431,1.6302173843223027,1.7479566155502568
4,1.7420319376818476,2.1443044299863954,2.0987742666407403
5,2.186256637240953,2.4995548432736343,2.45624401205942
6,2.405336300124821,2.7982373125801088,2.831108014172073
7,2.7087647502259107,3.1968865902805854,3.2612037850460824
8,2.8977990459940903,3.5684758690186853,3.6712002898676657
9,3.132860687662363,3.9039622828527882,4.113793336958677
10,3.317634570484433,4.269731231225963,4.470623392258487
11,3.6220090560183316,4.736398427931848,4.825324686189834
12,3.9603543577093374,5.127558654623504,5.2027384282700435
13,4.163629782011477,5.4991355798824575,5.656014498135231
14,4.401186468612158,5.893399908333726,5.977988502812601
15,4.594676061611365,6.264775761154626,6.323204230668169
16,4.922079755794632,6.738552232187793,6.64952702653823
17,5.161664597431346,6.981615189943065,7.119057409654838
18,5.45864542530964,7.370010008417411,7.530458692275086
19,5.66952356507543,7.804559756297728,7.848020786580792
20,5.841835213797173,8.227254497398182,8.237584325670486
21,6.1146346193942565,8.620853682451948,8.63115617546585
22,6.293656431013299,9.04217883291971,8.985976045231823
23,6.584663071732995,9.390427570173868,9.288115906028928
24,6.772563276880004,9.672061567772985,9.673602913812385
25,7.037610667610146,10.002293093856622,10.06345386951186
26,7.262838022820833,10.192507804107727,10.35462020604687
27,7.409679768450259,10.399293203027739,10.81095584766955
28,7.5912289455916095,10.806549808981433,11.206521275465734
29,7.7923702185937085,11.078605834522829,11.574871927301114
30,7.966229157478923,11.37652306237391,11.934979331974867
31,8.24251372514885,11.785173703577701,12.360394863059303
32,8.48806109757756,12.12840181731184,12.815342360067476
33,8.709334425853179,12.41952546640923,13.158148290245142
34,8.877698914814506,12.784884390058286,13.490337617489024
35,9.05987847997515,13.186392919040983,13.878455016874776
36,9.234747085249197,13.454685086648226,14.260701469855658
37,9.351250390125575,13.707627916235694,14.706165123845773
38,9.620254765192097,14.221627039327368,15.107569413334616
39,9.820555886195567,14.616904558163863,15.396457033863655
40,9.954487163552923,14.840183487448522,15.715304240338748
41,10.110571008424442,15.24150884031846,15.977301184727168
42,10.25278608675718,15.514482076233472,16.28907926713857
43,10.340226306939623,15.804237581040761,16.704858612403093
44,10.599644176828914,16.085307782794217,17.12280987668536
45,10.829620140404689,16.419973339448507,17.54471505095638
46,10.94706451632666,16.740504069801688,18.034340882620015
47,11.03955857063374,17.048887648226668,18.517362385749305
48,11.112987149909959,17.431801525340756,18.887844232754794
49,11.257807671311705,17.791154764816888,19.261750423095762
50,11.42486042616333,18.042137194004283,19.298445978550355
51,11.58416284396952,18.466792424549347,19.41339872963924
52,11.657591423245737,18.832593908586723,19.60184601678766
53,11.756304507172908,19.141634197676705,19.8102577818083
54,11.87844777982804,19.40655932367632,20.015838158359436
55,12.039997487555336,19.777934342005704,20.22475585049894
56,12.267980844877485,20.129614809531823,20.474422551154326
57,12.47526648726463,20.46430942934962,20.785382370907698
58,12.701378837871085,20.747488402506143,21.059626181614494
59,12.886994927061057,21.112828788153667,21.36191559284312
60,13.116645212154435,21.497859521509987,21.669593119162215
61,13.236460713884654,21.81380947213747,22.0744952501183
62,13.345138351032045,22.11427880780052,22.438450612469392
63,13.449719283028532,22.39979236108902,22.83581851163311
64,13.593051586323549,22.787343462833896,23.23855390587905
65,13.655806863917373,23.124251916006664,23.663593197381147
66,13.7185621415112,23.500510957082945,24.14522679431608
67,13.875202407102208,23.84117434406283,24.65761682822987
68,13.972993868215948,24.199812158376513,25.20379509074683
69,14.103769055654928,24.455312431552503,25.57872952668795
70,14.246731822728616,24.771848932462948,26.175508158199108
71,14.311622999413377,25.01330184105449,26.716510961696297
