Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.3162663246121342,0.40988361108468563,0.4359622779524398,0.46706078239063986,0.40988361108468563,0.4686387829867531
1,0.6707529745875875,0.829225983493558,0.8911076153609064,1.0056450164681767,0.829225983493558,0.9337617692725452
2,1.0622584017944106,1.249795485821558,1.3892711319371505,1.4039652692635376,1.249795485821558,1.286180809624819
3,1.440497933356355,1.7476953298774256,1.8594640259072803,1.804738149170916,1.7476953298774256,1.720708198431527
4,1.810686800573686,2.130654405194493,2.228843067680095,2.166672355118096,2.130654405194493,2.0749569930937284
5,2.2154696958789257,2.639423925770513,2.6351669989888853,2.5725014107672575,2.639423925770513,2.585778072375121
6,2.594598302565705,3.0439825014129567,3.0546818718394535,3.0430419925814935,3.0439825014129567,2.9992167499570646
7,2.9805987382162846,3.4573211453349395,3.4280740880625276,3.4828545916763383,3.4573211453349395,3.4153129696784594
8,3.317083683381449,3.879620277978887,3.8586172424001974,3.8452195125275628,3.879620277978887,3.8518577561871368
9,3.4972781770739814,4.236789248624086,4.272950844193701,4.249759928867361,4.236789248624086,4.361123277249978
10,3.845865644762884,4.6767660730167755,4.715166344488159,4.661253019653446,4.6767660730167755,4.813464529871034
11,4.000648238843413,5.168329928331498,5.122149790722673,4.974292853172879,5.168329928331498,5.170241543725293
12,4.201480408043625,5.499030596639247,5.466856447873463,5.234076956299149,5.499030596639247,5.6982423807602505
13,4.396592803169241,6.013082966800296,5.988263025037004,5.576396022052856,6.013082966800296,6.150759346973933
14,4.613951246896514,6.479017113488079,6.414605727292593,5.870248730332856,6.479017113488079,6.591568692264174
15,4.939209607799711,6.897717872826121,6.830096546381119,6.195818490839988,6.897717872826121,7.06253530995979
16,5.219569207216594,7.2656004989474,7.193451654450574,6.511993148263889,7.2656004989474,7.515511023339764
17,5.356071228339661,7.72004836017606,7.650492222277007,6.750603985629607,7.72004836017606,7.982430174961399
18,5.7195610932978695,8.230587137725612,8.058790569486748,6.976090468518772,8.230587137725612,8.401726932992421
19,5.91622977649886,8.6320035699752,8.499016110545675,7.254379302427729,8.6320035699752,8.749899787014652
20,6.041892526612002,9.082061616842074,8.817551217089477,7.533961976808689,9.082061616842074,9.218682559893825
21,6.284917066693832,9.52324557682567,9.19138457448542,7.986702695189879,9.52324557682567,9.615471678569183
22,6.494970890625902,10.002372733841948,9.639046919970184,8.414408362355909,10.002372733841948,10.13477875512994
23,6.69182235660327,10.407616627529233,9.964610977642318,8.644032629466034,10.407616627529233,10.480575181619077
24,6.87397252456464,11.004279616581918,10.430490382134346,9.00827122395548,11.004279616581918,10.904815452927048
25,7.090599819794511,11.045714320347768,10.863513990881213,9.310630394030289,11.045714320347768,11.342478257325482
26,7.437621302803171,11.073361912404764,11.40430367660852,9.53397524304577,11.202521459780506,11.649309454887508
27,7.534518101930438,11.108884417818421,11.786711323993888,9.820287383723647,11.429311979669183,12.108450261143357
28,7.75121910500944,11.15161078346669,12.168538262486639,10.11525486299756,11.730668279620394,12.500149640972364
29,7.958844183532311,11.169254699044732,12.507822156095505,10.285083358029542,11.959421507966463,13.118180291086016
30,8.170647153978777,11.169254699044732,12.917059329267383,10.505922570979418,12.285686090247177,13.324246408827502
31,8.272777547932948,11.16966975448712,13.253681783861149,10.72228687957517,12.616410898331512,13.660780409200921
32,8.48218766992598,11.201055520888556,13.684181902978452,10.969903136463289,12.984149813454062,14.053382900983474
33,8.581267994246247,11.218472724503176,14.104033890600386,11.219433500584373,13.380387721331306,14.49967875930236
34,8.794605914077742,11.218887779945565,14.365480517271802,11.510069787714126,13.765511512666311,14.944274585902651
35,9.043464005386777,11.219302835387953,14.63020097957633,11.761812889126237,14.159335241919356,15.340044981987727
36,9.194229172114115,11.219717890830342,15.012267660745263,12.027455291280742,14.567981635299962,15.599371813574205
37,9.404218271064432,11.227563254492583,15.370279465571738,12.235478604829295,14.974911180434358,15.96028502039945
38,9.592108486628065,11.227978309934972,15.787993822035526,12.52251894337004,15.428380269766711,16.539529019929784
39,9.756710489303106,11.240456809585154,16.068074711125085,12.728810157007313,15.913604277530052,16.890457697028566
40,9.92186883552865,11.240871865027543,16.46167134241797,12.9876218315295,16.39294188183735,17.17918107281289
41,10.109182890675186,11.276820738001215,16.805574672590204,13.28357064040119,16.868315664924776,17.635551142402278
42,10.338536003051761,11.284251046221069,17.15372159348938,13.460046071866703,17.421569957838038,18.07475016388026
43,10.51935235766185,11.290767972435749,17.43512163814297,13.766034384681305,18.041138061094905,18.444108826120452
