Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,NEWTS
0,0.35489543912220894,0.3176050639097661,0.3682834749448629,0.3960421418255625
1,0.9148024024879131,0.7435164625379601,0.7216619261102826,0.7149266522984165
2,1.2953265297104752,1.1689291831424504,1.2372818582445444,1.0126167261391905
3,1.672544173572485,1.5087089991996863,1.7034415362402353,1.3420336013097272
4,1.9694830145949616,1.8758454451026316,1.9466887427612605,1.698257812724655
5,2.3923216827240728,2.2091171684810953,2.30824038466888,2.1375240069963937
6,2.581805652332359,2.683450558782533,2.7321915703020183,2.52306025422976
7,2.8236104244196807,3.055313164145468,3.0550436946077992,2.8661127197843097
8,3.0147421823012026,3.370713607255099,3.37844577309032,3.153757595141866
9,3.1585458783050253,3.6661670947427063,3.6703584095013198,3.547970602598742
10,3.3104867801941302,4.120631464738363,4.0156693406121855,4.019469665288363
11,3.553470263977701,4.4698565702672335,4.409124409459219,4.345976015827282
12,3.775606449518964,4.880149654347434,4.77057358420215,4.704292233084826
13,4.079683628999247,5.198491329409997,5.071456449084248,5.161822908303433
14,4.258730441147075,5.610566894864905,5.380646871931209,5.587899510501442
15,4.4217772190043165,5.9398738517841005,5.677693133916182,5.927465960124524
16,4.614236675513968,6.261188398988958,6.050287927456051,6.2186728137285066
17,4.709864937361611,6.757103901909517,6.435419299443663,6.527733209544681
18,4.887275067796222,7.198759898210433,6.717656632070404,6.9365877607999264
19,5.059041600436727,7.501455689581187,6.982402399337107,7.326192193137042
20,5.338004769139687,7.834594219563707,7.3409537755455405,7.656123682385845
21,5.521667417298705,8.31145193405896,7.555715082551204,7.951315998910059
22,5.696802900133674,8.636584087802312,7.889432283555401,8.253186677481327
23,5.902357846263805,8.981066967941198,8.197818707199087,8.58247889275184
24,6.121237531086827,9.293621594289078,8.575030490204771,8.849466770369371
25,6.241244787825904,9.35312157838697,9.043644148343521,9.304907680845712
26,6.400945045006649,9.42712397601952,9.46821276917554,9.703868468823286
27,6.650217786376284,9.564694334709191,9.898952019296736,10.147496138673128
28,6.886352540584996,9.720360453046244,10.171371282969643,10.502931717474613
29,7.001330001153221,9.984111622866443,10.503562243391926,10.77996771780702
30,7.14650876557794,10.198520242549257,10.893200928364267,11.183369154574125
31,7.305000417485472,10.459532099539837,11.311061088683234,11.455207985372622
32,7.426047622089264,10.699754950804195,11.67899346238825,11.765133379092237
33,7.543996111627207,11.013410047802248,12.121674190251394,12.062848532317826
34,7.611283126465423,11.36994461531712,12.432809413414846,12.396310828279542
35,7.701843760077331,11.67201050684542,12.732404202592322,12.743877316758901
36,7.894524444012523,12.031180964520042,12.93844513748169,13.052559146708536
37,8.109109460035514,12.387228557006283,13.223083735840456,13.351523709443176
38,8.291490424164031,12.803143654046874,13.565881394251239,13.64717335882124
39,8.424874452135363,13.158495389751897,13.869727859700268,13.88362807708331
40,8.631611327984603,13.623479552226948,14.21951085034639,14.237020320421522
41,8.716050369811088,14.03656673935071,14.674644017524425,14.58229007089154
42,8.842699846007676,14.532817391521615,15.069444266166197,14.791100137776777
43,8.968496374645715,15.0616330484979,15.46524186320853,15.239152818167515
44,9.038096867517819,15.551335275173704,15.865675303061343,15.522635829287234
45,9.214885726149102,16.086564350476202,16.23726945585188,15.832954823749011
46,9.373694362216659,16.669226103087134,16.516273057566718,16.22263914922531
