Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit,thompson check
0,0.4580967231316083,0.27733222676894426,0.27733222676894426,0.27733222676894426,0.3929800751231439
1,0.8727017628120841,0.7838311319494202,0.7838311319494202,0.7838311319494202,0.7949761741328734
2,1.2794927144341723,1.1856891935912064,1.1856891935912064,1.1856891935912064,1.178746088781283
3,1.563166674123149,1.686654258123567,1.686654258123567,1.686654258123567,1.6367466514113833
4,1.8793527276306594,2.1282905046418454,2.1282905046418454,2.1282905046418454,2.0612302202960824
5,2.4331635000978746,2.6777915068503537,2.6777915068503537,2.6777915068503537,2.446978853253941
6,2.700593853200458,3.228368013308233,3.228368013308233,3.228368013308233,2.962794896158195
7,2.9244913211604606,3.7600991248021947,3.7600991248021947,3.7600991248021947,3.503540335261236
8,3.230782547179981,4.329093094649891,4.329093094649891,4.329093094649891,4.153279260704526
9,3.470280069552625,4.645986041546504,4.645986041546504,4.645986041546504,4.771857000375297
10,3.6974928968953242,4.658212114840729,4.886047165265992,4.744713622020907,5.0769160625201195
11,3.851756067236032,4.6901149316801884,5.1810168069765155,4.8987521482197405,5.688041466496108
12,4.213164392739629,4.73944572086328,5.485327995637073,5.028648333918875,6.010128634280916
13,4.692371905846221,4.814266745849574,5.756243114578976,5.307005979276653,6.532744126041784
14,4.767980099786419,4.858771482866637,6.152310500816798,5.6318671946524255,7.024536075418501
15,4.953326465458414,4.951878503713494,6.622781295946988,5.883075558181774,7.324586667885808
16,5.23332206128189,4.99273940118875,6.9881709593729955,6.194547138191707,7.795466028423009
17,5.434939060930604,4.993697710339346,7.243628687931114,6.397974699527834,8.134765052377503
18,5.751974763694253,5.114393916909838,7.4248578345101635,6.623499885246121,8.48486969511148
19,5.950732626585671,5.179537680763044,7.689707931534872,6.810419125336909,8.904236866805277
20,6.006036788724492,5.243440923947647,7.820319297696609,7.069173394547121,9.213802360369959
21,6.245670715830074,5.345571093270909,8.238271125711162,7.303152300386347,9.43897708590653
22,6.377694786345996,5.471454104343744,8.583704230604226,7.482486212250322,9.686842850110814
23,6.4148052757247935,5.615435318481947,8.8983490805965,7.62952027870209,10.104899863344972
24,6.50682920031373,5.690543187542422,9.260003878535242,7.789580901980457,10.600621934174637
25,6.693549252924312,5.751197882352944,9.702328793151759,7.982370999739804,10.785257921260989
26,6.789563091652329,5.824362259391558,10.07307201212966,8.035372502250308,11.000043398717418
27,7.166848536612309,5.847934168722395,10.390474494666465,8.232094630029783,11.469473919230305
28,7.303235221864623,5.880416316142147,10.503952811106776,8.338668199969288,11.733829479488346
29,7.364600131556176,5.962775016289505,10.702977891721314,8.402766981875809,12.12077992662054
30,7.542918874080044,5.968883189435362,11.045903607643636,8.511476846394459,12.598968673194282
31,7.6706993041053435,6.070688307426238,11.29599390738345,8.5767668615509,12.875020930706176
32,7.867796870161683,6.192888206807888,11.492014690562186,8.636612765024296,13.236724727745429
33,7.904211937364025,6.2301657881995105,11.737732768271892,8.794045959539364,13.46927070129189
34,8.033102903822126,6.359396819795814,11.908951188274054,8.897097193665946,13.565848917182748
35,8.15141393596316,6.477460640470623,12.134354927508706,8.91600044314174,13.782165253057798
36,8.240041347340156,6.500328301526269,12.302993532879269,9.035083773593506,14.09136121186016
37,8.240999656490752,6.535299077890204,12.582351959488857,9.095766172303138,14.446611757018221
38,8.363537944607302,6.601116435401404,12.721609767023118,9.173198056276659,14.846396372090657
39,8.484819148469157,6.638524037658437,13.049772597907406,9.223030990622345,15.018160459687731
40,8.485777457619752,6.665464730412316,13.267046985810955,9.267458395645866,15.198581631889493
41,8.699575493784945,6.713084776261479,13.403774314174067,9.294283944705494,15.392497301006301
42,8.714538005254585,6.747233735692798,13.722084295880938,9.299878414038702,15.83259332609585
43,8.805244160071902,6.863633701655599,13.82299925793601,9.340510709234348,16.023314481148397
44,8.912607334015544,6.8765551971262795,13.927552665582263,9.354049503835153,16.26031111546541
45,9.0727693049358,6.9509191729700515,14.11952191013161,9.378097558466186,16.4209804937179
46,9.114908994957755,6.990553295230411,14.26687505562396,9.421275964102103,16.776466323186046
47,9.1475260931719,7.078211977618492,14.463844041963762,9.432978606581166,16.966624119732817
48,9.357690169823641,7.131148131149692,14.62761544031359,9.452141218408965,17.216206356399944
49,9.47133543729594,7.220459770208128,14.6947125981732,9.52922197291298,17.38859196566122
50,9.57149440021164,7.263753925601643,14.733076606752942,9.544344879493545,17.609309983526
51,9.728007497142366,7.345268070061413,14.869260969224737,9.663752192230477,17.688159022409913
52,10.101396358681683,7.386559204873519,14.953723733950515,9.670350115030047,17.93378371298312
53,10.174367433381729,7.4052422843794234,15.096022372051973,9.716758014696094,18.23282210823786
54,10.259863832874029,7.54112273217918,15.238864962796868,9.77393485427969,18.29796344123524
55,10.391297851234743,7.542821607821999,15.376403558848086,9.820259541033526,18.441157873321607
56,10.480139409714663,7.564382042091208,15.456344178892769,9.912053368685708,18.589361384212392
57,10.584925780131522,7.586478540604079,15.515445595641577,10.006643499201127,18.6472354953833
58,10.703488987162865,7.62422239270505,15.582299452182534,10.046075555177065,18.72929408272912
59,10.80730804402672,7.641598329994537,15.615225249371894,10.122655850180749,18.817989423953513
60,10.911544046258985,7.734045449878198,15.648402116148015,10.168858137960763,18.946282175144766
61,11.108339855561816,7.740153623024055,15.887918758585608,10.237338592054867,18.99663812282237
62,11.33843550247828,7.757494935146927,16.056646132772112,10.287402623537222,19.172572452136528
63,11.455994175679027,7.85438091670917,16.205792238980163,10.416297300834037,19.30534489518675
64,11.56881529814464,7.876274491034833,16.33358525341405,10.447411837761525,19.399826551295984
