Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,LinTSTheta
0,0.8681434575457837,0.8618169575893463,0.9155834985276167
1,0.8347311876241257,0.8158994922026906,0.8836064882487404
2,0.7977242520211278,0.7277878539069225,0.8583529948846508
3,0.7727488187110195,0.7125375700506134,0.8502600522207328
4,0.69452790629492,0.707680653068383,0.845933554502551
5,0.6883964726797502,0.6941046848119741,0.8435568997899754
6,0.6921963870648794,0.6965851589682739,0.8364195523049107
7,0.6792672873315277,0.6863859999725744,0.8318563474409512
8,0.6755194339919645,0.6911409603789429,0.8323936620686514
9,0.6721928806583681,0.6884106713348999,0.827806110176574
10,0.6653455084110691,0.6875209057470856,0.8265094570892778
11,0.6625380540207149,0.6879116336768598,0.8248251440518315
12,0.6628066917896687,0.6893781297402787,0.8244427840507182
13,0.6646470626732434,0.6900408201065085,0.8166722054250094
14,0.64047293576251,0.6824434415730296,0.8146096593244214
15,0.6392538848726932,0.6857760425448326,0.8153387725278444
16,0.5979592350906502,0.6860017896788124,0.8148717197826383
17,0.5935316605251229,0.6847914615767337,0.8139112320133302
18,0.5932990078489269,0.6841156209940322,0.8133151349237744
19,0.5954619224198778,0.6845881326434304,0.812963411512212
20,0.5954623237628321,0.6848690828398181,0.8123079352898366
21,0.5894265761807373,0.6851765039281277,0.8127077631666847
22,0.5894344595509516,0.6867255641181325,0.812616316814806
23,0.5863385513676538,0.68640583859853,0.8128247285937095
24,0.5880182996847185,0.6884342103658219,0.8132627771008657
25,0.5863573829307175,0.6894116734864141,0.8129713290094489
26,0.5864568169371259,0.6894716637942568,0.8103965602730229
27,0.5864887514549388,0.6881139562120407,0.8095712388117864
28,0.5859244976954906,0.686492202784079,0.8091557230472006
29,0.5876154729718338,0.6879036958142396,0.8095323816248392
30,0.5890162571272324,0.689223153923377,0.8102492194139581
31,0.590944358402745,0.6899731096707452,0.8101182224755213
32,0.5908333772996335,0.6899022711438131,0.8099852570126279
33,0.5896278414922091,0.689911830172209,0.8099548235243883
34,0.5883426310103986,0.6897151135152784,0.8098407400359046
35,0.5966850054798027,0.6879984317541895,0.8089933433262996
36,0.5931131299911134,0.6870290527175672,0.8079408966939969
37,0.5924717163767705,0.687377026227993,0.8079962897881785
38,0.5916809434425645,0.687792689978741,0.8080310442458417
39,0.5918264413334724,0.6879263869548925,0.807917872381708
40,0.5939740593742966,0.6877627333195545,0.8076339218203081
41,0.594326939838435,0.6881259128878161,0.8075121837093058
42,0.5933430296869935,0.6876923955275478,0.8074124049317982
43,0.5916316080997672,0.6891222908900071,0.807892577441668
44,0.5914744026444816,0.688633821950584,0.807775084132399
45,0.5907721256045728,0.6881626186325729,0.8074736585449864
46,0.5898046877129792,0.6872563243944082,0.8072010557023873
47,0.5895957418132249,0.6859135333255042,0.8069149927930745
48,0.5895787486730557,0.6861026045926094,0.8065362764513646
49,0.5878444042642144,0.6863360849438873,0.8066936559856475
50,0.58844983724378,0.6861904476505959,0.8064674525488448
51,0.5877688838893846,0.6859415661978687,0.8063611965156336
52,0.5892353747101136,0.6872738542998094,0.8069805675869434
53,0.5879810902357487,0.6868619794025319,0.8067909993901361
54,0.5887068250693236,0.6871495792711455,0.8064843204012467
55,0.5893562165831192,0.6876486830861387,0.8062116539590164
56,0.5896430133937324,0.6827227763134645,0.8062910798847724
57,0.5893597718869397,0.6820979173723636,0.8059320280353234
58,0.5890960257017236,0.6801857297357798,0.8058974427562026
59,0.589934388186464,0.6810448837667681,0.8060731892651181
60,0.5889863478123604,0.6808523588319627,0.8061278661583546
61,0.5889018828235824,0.6813687497527677,0.806363614331878
62,0.5886856739451533,0.6816993137582473,0.8063895073271168
63,0.5887366130934306,0.6813086112646254,0.8061967833233352
64,0.5893610039044638,0.6816687407715089,0.8064059220699399
65,0.5889023095926536,0.6821010998723646,0.8065436608328103
66,0.5888393726202084,0.6823465455513708,0.8067235310402227
67,0.5893772569306182,0.6819418378725316,0.8065807875189757
68,0.5886187292860355,0.6817027758463923,0.8065177575808505
69,0.5880820020846399,0.6813375258630414,0.8064175207519803
70,0.5873281433112536,0.6810300525292878,0.80624556726333
