Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,ThompsonSamplingLinearBanditTheta,PHELinearBanditTheta
0,0.8130365520217182,0.7584618240969504,2.939215007663779,1.0
1,0.658250984408665,0.6170941428149651,2.8943438268905566,1.0
2,0.4141009233715415,0.4178036667395947,0.5004832585587694,1.0
3,0.3019713372094488,0.25279698618482915,0.20171193500308057,1.0
4,0.23555193633924168,0.15741745274443536,0.18207639243861734,1.0
5,0.19133225284590133,0.15436921480216156,0.23134358701570212,1.0
6,0.16827539612487766,0.14442441075203258,0.15338917117212433,1.0
7,0.15619403681414445,0.14498664428607985,0.18519834018368436,1.0
8,0.1347515844861082,0.1283478488821796,0.19092578490849368,1.0
9,0.1332825193690169,0.10843624480418299,0.1490771164285191,1.0
10,0.12754594565322083,0.09051849032797034,0.2252071098493301,1.0
11,0.12753859324379543,0.08781501835776971,0.19457262924759203,1.0
12,0.12530448967116894,0.08330135926789298,0.17146413215647652,1.0
13,0.1223976935715743,0.08267199878553795,0.13376716020323126,1.0
14,0.11822222067967314,0.07103483892371662,0.16593519371289503,1.0
15,0.12120216658762475,0.06908678954219553,0.15298934385976154,1.0
16,0.12712578487451162,0.06574750960045778,0.13638088372653048,1.0
17,0.12416299526151486,0.06228690987371081,0.13250375128114406,1.0
18,0.11944261584130797,0.05868981146191882,0.17992726062276065,1.0
19,0.08527022572180634,0.05655049667330857,0.18791259365854596,1.0
20,0.07500765592579339,0.056768917876166655,0.10714099150228455,1.0
21,0.0721661009123418,0.053008582691916314,0.13808343740361562,1.0
22,0.06675875459331289,0.04949547866941427,0.15127529862341116,1.0
23,0.06966759764179671,0.05214760901554475,0.13846998844635125,1.0
24,0.07032578723788899,0.05128797069308003,0.21465856394388907,1.0
25,0.07159712862146608,0.04965809842323317,0.11326161395158671,1.0
26,0.06800182707006645,0.04886907280952733,0.12311038626895579,1.0
27,0.06690190703178567,0.05204961353001625,0.13699273820650473,1.0
28,0.06323250920763587,0.05431370393152649,0.1398195395428886,1.0
29,0.06695878181251104,0.0555131622171021,0.17161599194419241,1.0
30,0.0679733277424287,0.05544654657278467,0.16456412491645372,1.0
31,0.06920853998304603,0.05362562010007625,0.15807283571832897,1.0
32,0.0678206430083603,0.05325094557223525,0.15120534442508912,1.0
33,0.06841962304220303,0.05251146292617207,0.11479914173363955,1.0
34,0.06879742576749318,0.053605296070093636,0.15574071625139804,1.0
35,0.06641194157241391,0.05365425759954736,0.13973648003600198,1.0
36,0.06733784175636458,0.05824935032019418,0.09976825987356859,1.0
37,0.0645486392203985,0.05683384494340593,0.15789693096023166,1.0
38,0.06104964957609702,0.05440968094201526,0.12943519080315835,1.0
39,0.06055314721399977,0.05294105401111264,0.13753691680461855,1.0
40,0.062209472304898296,0.05498583720629983,0.16085286633981105,1.0
41,0.0626232030399179,0.05369271912665348,0.19182956294909742,1.0
42,0.0661948103154444,0.055341281438366405,0.18647144333047072,1.0
43,0.06437683920747728,0.05367245534280614,0.10783517446735691,1.0
44,0.06374609113592979,0.053584743910449525,0.12639719240769143,1.0
45,0.05930847575616992,0.053043504243746896,0.16788350388943035,1.0
46,0.059628649563793434,0.052149241727020144,0.11195053410663931,1.0
47,0.06101027548019592,0.05350504936701753,0.1193694934650003,1.0
48,0.06040721999956511,0.05200900457738711,0.10688865019198188,1.0
49,0.06197770945453993,0.05162229041370246,0.13200119541958502,1.0
50,0.062049322581120316,0.05021444830719714,0.1055885710619128,1.0
51,0.062435740530099516,0.050442812808677864,0.12608459984432338,1.0
52,0.06090163733262292,0.04998196714223309,0.15901340584384502,1.0
53,0.0601932438518234,0.04955297234446776,0.1541662892799193,1.0
54,0.05957698919425786,0.049641536070934564,0.10646744008779714,1.0
55,0.05966635679755826,0.048327609312177944,0.14391067086858347,1.0
56,0.06007677139390301,0.04854439854401891,0.13389627467239804,1.0
57,0.06048141699288555,0.0480351723432338,0.1027983460664117,1.0
58,0.06346443545490012,0.04740787277482858,0.11005329816087069,1.0
59,0.06448886105877472,0.04734290720223068,0.15285338530402104,1.0
60,0.06453687050713153,0.047170117886339,0.1239357458752162,1.0
61,0.0643174068475218,0.04685663836239331,0.12334880484083768,1.0
62,0.06424706537357795,0.047317950773741985,0.12689754781034288,1.0
63,0.06323033802836496,0.04783902002461846,0.11554447542627296,1.0
64,0.06323083434093178,0.048556285209384965,0.09600473360776493,1.0
65,0.060713134577983885,0.04850351887484213,0.10849480577914812,1.0
